result_id,cluster,size,seq,series,text,begin,end,id,book,Jawwani
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1.0,369367383554,2,2697,JK003609-ara1.mARkdown,الدارقطني له المسند وقد رايت عند ابي اسحاق الحبال من الاجزاء التي خرجت له جملة كثيرة جدا وفي بعضها الموفي الفا من مسند كذا والموفي خمسماءة من مسند كذا ,708,859,JK003609,0764Safadi.WafiBiWafayat,
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1.0,369367383554,2,579,Shamela0009788-ara1.mARkdown,الدارقطني من بغداد وبر اليه وخرج له المسند وقد رايت عند ابي اسحاق الحبال من الاجزاء التي خرجت له جملة كثيرة جدا في بعضها الموفي الفا من مسند كذا والموفي خمسماءة من مسند كذا ,78,251,Shamela0009788,0626YaqutHamawi.MucjamUdaba,
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1.0,60129669487,12,1534,Shamela0003118-ara1.completed,صلي الله عليه وسلم قال عبيدة فقلت لعلي انت سمعته قال اي ورب الكعبة ومن شعر ابي الفضل جعفر بن حنزابة من اخمل النفس احياها وروحها ولم يبت طاويا منها علي ضجر ان الرياح اذا اشتدت عواصفها فليس ترمي سوي العالي من الشجر املي الحديث بمصر وبسببه خرج ابو الحسن الدارقطني الي هناك واقام عنده مدة يصنف له المسند وحصل له من جهته مال كثير ولم يزل في ايام عمره يصنع اشياء من المعروف عظيمة وينفق نفقات كثيرة علي اهل الحرمين من الاشراف وغيرهم الي ان تم له ان اشتري بالمدينة دارا الي جانب المسجد من اقرب الدور الي القبر ليس بينه وبين القبر الا الحاءط وطريق في المسجد واوصي ان يدفن فيها وقرر عند الاشراف ذلك فسمحوا له بذلك واجابوا اليه فلما مات وحمل تابوته من مصر الي الحرمين خرجت الاشراف من مكة والمدينة لتلقيه والنيابة في حمله الي ان حجوا به وطافوا ووقفوا بعرفة ثم ردوه الي المدينة ودفنوه في الدار التي اعدها لذلك ولد ابو الفضل جعفر بن الفرات ,171,997,Shamela0003118,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,?
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1.0,60129669487,12,27527,JK000916-ara1.mARkdown,ولم يزل في ايام عمره يصنع اشياء من المعروف عظيمة وينفق نفقات كثيرة علي اهل الحرمين من الاشراف وغيرهم الي ان تم له ان اشتري بالمدينة دارا الي جانب المسجد من اقرب الدور الي القبر ليس بينه وبين القبر الا الحاءط وطريق في المسجد واوصي ان يدفن فيها وقرر عند الاشراف ذلك فسمحوا له بذلك واجابوه اليه فلما مات وحمل تابوته من مصر الي الحرمين خرجت الاشراف من مكة والمدينة لتلقيه والنيابة في حمله الي ان حجوا به وطافوا ووقفوا بعرفة ثم ردوه الي المدينة ودفنوه في الدار التي اعدها لذلك ولد ابو الفضل جعفر بن الفرات ,50,551,JK000916,0571IbnCasakir.TarikhDimashq,?
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1.0,60129669487,12,2698,JK003609-ara1.mARkdown,وكان الوزير في ايامه ينفق علي اهل الحرمين من الاشراف وغيرهم الي ان تم له ان اشتري دارا الي جانب المسجد من اقرب الدور الي القبر ليس بينه وبين القبر الا حاءط وطريق واوصي ان يدفن فيها وقرر عند الاشراف ذلك فاجابوه فلما مات حمل تابوته من مصر الي الحرمين وخرج الاشراف من مكة لتلقيه والنيابة في حمله الي ان حجوا به وطافوا به ووقفوا به بعرفة ثم ردوه الي المدينة ودفنوه في الدار التي ,536,911,JK003609,0764Safadi.WafiBiWafayat,?
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1.0,60129669487,12,5989,Shamela0035100-ara1.mARkdown,رايت عند الحبال كثيرا من الاجزاء التي خرجت لابن حنزابة وفي بعضها الجزء الموفي الفا من مسند كذا والجزء الموفي خمسماءة من مسند كذا وكذا ساءر المسندات ولم يزل ينفق في البر والمعروف الاموال وانفق الكثير علي اهل الحرمين الي ان اشتري دارا من اقرب الدور الي الضريح النبوي ليس بينه وبين القبر الا الحاءط وطريق في المسجد واوصي ان يدفن فيها وقرر عند الاشراف ذاك فسمحوا له بذلك فلما حمل تابوته من مصر خرجت الاشراف من الحرمين لتلقيه وحجوا به وطافوا بتابوته ثم ردوه الي المدينة ودفنوه في تلك الدار فعلوا ذلك لما له عليهم من الافضال حامد بن محمد بن ,837,1372,Shamela0035100,0748Dhahabi.TarikhIslam,?
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1.0,60129669487,12,578,Shamela0009091-ara1.mARkdown,مع كافور وكان كثير الخير اهل الحرمين واشتري بالمدينة دارا ليس بينها وبين الضريح النبوي سوي جدار واحد واوصي ان يدفن فيها وقرر مع الاشراف ذلك ولما مات حمل تابوته وخرجت الاشراف الي لقاءه وفاء بما احسن اليهم وحجوا به وطافوا ووقفوا ثم ردوه الي المدينة ودفنوه بالدار ,417,678,Shamela0009091,0768Yafici.MiratJinan,?
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1.0,60129669487,12,579,Shamela0009788-ara1.mARkdown,رايت عند ابي اسحاق الحبال من الاجزاء التي خرجت له جملة كثيرة جدا في بعضها الموفي الفا من مسند كذا والموفي خمسماءة من مسند كذا وهكذا هي ساءر المسندات وقد اعطي الدارقطني مالا كثيرا وانفق عليه نفقة واسعة ولم يزل في ايام عمره يصنع اشياء من المعروف عظيمة وينفق نفقات كثيرة علي اهل الحرمين من اصناف الاشراف وغيرهم الي ان تم له ان اشتري بالمدينة دارا الي جانب المسجد من اقرب الدور الي القبر ليس بينها وبين القبر الا حاءط وطريق في المسجد واوصي ان يدفن فيها وقرر عند الاشراف ذلك فسمحوا له بذلك واجابوه اليه فلما مات حمل تابوته من مصر الي الحرمين فخرجت الاشراف من مكة والمدينة لتلقيه والنيابة في حمله الي ان حجوا به وطافوا ووقفوا بعرفة ثم ردوه الي المدينة ودفنوه في الدار التي اعدها لذلك قرات بخط الشريف النسابة محمد بن اسعد بن علي الجواني المعروف بابن النحوي كان الوزير جعفر بن الفضل بن الفرات المعروف بابن حنزابة يهوي النظر ,125,941,Shamela0009788,0626YaqutHamawi.MucjamUdaba,?
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1.0,60129669487,12,226,Shamela0001000-ara1.completed,وذكره الحافظ ابن عساكر في تاريخ دمشق واورد من شعره قوله من اخمل النفس احياها وروحها ولم يبت طاويا منها علي ضجر ان الرياح اذا استدت عواصفها فليس ترمي سوي العالي من الشجر وقال كان كثير الاحسان الي اهل الحرمين واشتري بالمدينة دارا بالقرب من المسجد ليس بيتها وبين الضريح النبوي علي ساكنه افضل الصلاة والسلام سوي جدار واحد واوصي ان يدفن فيها وقرر مع الاشراف ذلك ولما مات حمل تابوته من مصر الي الحرمين وخرجت الاشراف الي لقاءه وفاء بما احسن اليهم فحجوا به وطافوا ووقفوا بعرفة ثم ردوه الة المدينة ودفنوه بالدار المذكورة ,796,1308,Shamela0001000,0681IbnKhallikan.WafayatAcyan,?
0626YaqutHamawi.MucjamUdaba.Shamela0009788-ara1.0,60129669487,12,161,Shamela0001003-ara1.completed,وكان الوزير في ايامه ينفق علي اهل الحرمين من الاشراف وغيرهم واشتري دارا الي جانب المسجد من اقرب الدور الي القبر الشريف ليس بينها وبينه الا حاءط واوصي ان يدفن فيها وقرر عند الاشراف ذلك فاجابوه فلما مات حمل تابوته من ,1346,1561,Shamela0001003,0764IbnShakirKutubi.FawatWafayat,?
