result_id,cluster,size,seq,series,text,begin,end,id,book,Jawwani,Notes
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,420907018140,2,384,Shamela0000176-ara1.completed,الي ان وقعت الي الناس فحملت الي بيتي وعرفتهم بموضعه فمضوا الي الوالي فكبس عليه وضرب عنقه واقامت الدماء في افخاذي سنة الي ان ختم الجرح وبقي هكذا حفرا ,703,852,Shamela0000176,0845Maqrizi.ItticazHunafa,x,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,420907018140,2,772,Shamela0011566-ara1.completed,الي ان وقعت الي المامن وجءت الي بيتي وعرفتهم بموضعه فمضوا الي الوالي فكبس عليه وضرب عنقه واقام الدواء في افخاذي سنة الي ان ختم الجرح وبقي كذا حفرا ,1,148,Shamela0011566,0845Maqrizi.Mawaciz,x,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,103079323116,2,384,Shamela0000176-ara1.completed,يسعي في الطرقات فاعدوا سلبا وخطاطيف فاذا مر بهم احد شالوه في اقرب وقت ثم ضربوه بالاخشاب وشرحوا لحمه واكلوه قال الشريف ابو عبد الله محمد الجواني في كتاب النقط حدثني بعض نساءنا الصالحات قالت كانت لنا من الجارات امراة ترينا افخاذها وفيها كالحفر فتقول انا ممن خطفني اكلة الناس في الشدة فاخذني انسان وكنت ذات جسم وسمن فادخلني بيتا فيه سكاكين واثار الدماء وزفرة القتيل فاضجعني علي وجهي وربط في يدي ورجلي سلبا الي اوتاد حديد عريانة ثم شرح من افخاذي وانا استغيث ولا احد يجيبني ثم اضرم الفحم واسوي من لحمي واكل اكلا كثيرا ثم سكر حتي وقع علي جنبيه لا يعرف اين هو فاخذت في الحركة الي ان تخلي احد الاوتاد واعان الله علي الخلاص وخلصت وحللت الرباط واخذت خروقا من داره ولففت بها افخاذي وزحفت الي باب الدار وخرجت ازحف ,1,703,Shamela0000176,0845Maqrizi.ItticazHunafa,x,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,103079323116,2,771,Shamela0011566-ara1.completed,يسعي في الطرقات ويطوف وقد اعدوا سلبا وخطاطيف فاذا مر بهم احد شالوه في اقرب وقت ثم ضربوه بالاخشاب وشرحوا لحمه واكلوه قال وحدثني بعض نساءنا الصالحات قالت كانت لنا من الجارات امراة ترينا افخاذها وفيها كالحفر فكنا نسالها فتقول انا ممن خطفني اكلة الناس في الشدة فاخذني انسان وكنت ذات جسم وسمن فادخلني الي بيت فيه سكاكين واثار الدماء وزفرة القتلي فاضجعني علي وجهي وربط في يدي ورجلي سلبا الي اوتاد حديد عريانة ثم شرح من افخاذي شراءح وانا استغيث ولا احد يجيبني ثم اضرم الفحم وشوي من لحمي واكل اكلا كثيرا ثم سكر حتي وقع علي جنبه لا يعرف اين هو فاخذت في الحركة الي ان انحل احد الاوتاط واعان الله علي الخلاص وتخلصت وحللت الرباط واخذت خرقا من داره ولففت بها افخاذي وزحفت الي باب الدار وخرجت ازحف ,916,1600,Shamela0011566,0845Maqrizi.Mawaciz,x,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,420907018139,2,384,Shamela0000176-ara1.completed,الوزير يوما علي بغلة فاكلها العامة فامر بهم فشنقوا فاجتمع الناس علي المشنقين واكلوهم وعدم المستنصر القوت جملة حتي كانت الشريفة بنت صاحب السبيل تبعث اليه كل يوم بقعب من فتيت من جملة ما كان لها من البر والصدقات في سني هذا الغلاء حتي انفقت مالها كله وكان يجل عن الاحصاء في سبيل البر فلم يكن للمستنصر قوت سوي ما كانت تبعث به اليه وهو مرة واحدة في اليوم ,1071,1420,Shamela0000176,0845Maqrizi.ItticazHunafa,?,Part of fitna narrative - perhaps not Jawwani
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,420907018139,2,79,Kraken210223142017-ara1,الوزير يوما علي بغلته فاكلتها العامة فشنق طاءفة منهم فاجتمع عليهم النسا فاكلوهم وافضي الامر الي عدم المستنصر القوت وكانت الشريفة بنت صاحب السبيل تبعث اليه في كل يوم من فتيت من جملة ما كان لها من الير والصدقات في تلك الفلوة حتي انفقت مالها كله وكان يجل عن الاحصاء في سبيل البر ولم يكن للممستنصر قوت سوي ما كانت تبعث به اليه وهو مرة واحدة في اليوم ,473,819,Kraken210223142017,0845Maqrizi.IghathaUmma,?,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,453,JK009288-ara1,السريع يا منزلا لم تبل اطلاله حاشا لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي والعيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي ,294,434,JK009288,0414AbuHayyanTawhidi.Basair,,Poem - reused in fitna context - from v diff context
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,7931,Kraken210630005153-ara1,السبع قال زنام الزامر افاق المعتصم في علته التي مات فيها فركب في الزلال في دجلة وانا معه فمر بازاء منازله فقال يا زنام ازمر لي من السريع يا منزلا لم تبل اطلاله حاشي لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي والعيش اولي ,1286,1520,Kraken210630005153,0749IbnFadlAllahCumari.MasalikAbsar,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,993,Shamela0010283-ara1.mARkdown,المزابل وقفت عليه وتمثلت يا منزلا لم تبل اطلاله حاشي لاطلالك ان تبلي لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي قد كان لي فيك هوي مرة غيبه الترب وما ملا فصرت ابكي بعده جاهدا عند ادكاري حيث قد حلا والعيش اولي ما بكاه الفتي لا بد للمحزون ان يسلي قال ثم بكت حتي سقطت من قامتها وجعل النسوة يناشدنها ويقلن الله الله في نفسك فانك الان تءخذين فبعد لاي ما احتملت تتهادي بين امراتين حتي جاوزت الموضع وحكي عنها قالت بعث الي المعتصم بعد قدومه بغداد فلما دخلت امر بالعود فوضع في حجري وامرني بالغناء فغنيت هل مسعد لبكاءي بعبرة او دماء وذاك شء قليل لسادتي النجباء ,536,1084,Shamela0010283,0733Nuwayri.NihayatArab,,
0845Maqrizi.ItticazHunafa.Shamela0000176-ara1.0,154618885446,19,4945,Shamela0003118-ara1.completed,باذنة من الثغور قتله لسوء سيرته في ولايته الجبال مرت جارية لعلي بن هشام بقصره بعدما قتل فبكت وقالت السريع يا منزلا لم تبل اطلاله حاشي لاطلالك ان تبلا لم ابك اطلالك لكنني بكيت عيشي فيك اذ ولي قد كان لي فيك هوي مرة غيبه الترب وما ملا قالت متيم لمراد قولي اشعارا ترثين بها مولاي حتي الحنها الحان النوح واندبه بها فقالت عدة اشعار في مراثيه وباحت بها متيم فمنها ,1,358,Shamela0003118,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,,
