result_id,cluster,size,seq,series,text,begin,end,id,book,Jawwani,Note
0845Maqrizi.Mawaciz.Shamela0011566-ara1.0,154618995347,2,10,Shamela0011566-ara1.completed,فاقول علم النجوم ثلاثة اقسام الاول معرفة تركيب الافلاك وكمية الكواكب واقسام البروج وابعادها وعظمها وحركتها ويقال لهذا القسم علم الهيءة والقسم الثاني علم الزيج وعلم التقويم والقسم الثالث معرفة كيفية الاستدلال بدوران الفلك وطوالع البروج علي الحوادث قبل كونها ويسمي هذا ,1354,1621,Shamela0011566,0845Maqrizi.Mawaciz,,
0845Maqrizi.Mawaciz.Shamela0011566-ara1.0,154618995347,2,62,Hindawi95926405Vols-ara1.mARkdown,فنقول ان علم النجوم ينقسم ثلاثة اقسام قسم منها هو معرفة تركيب الافلاك وكمية الكواكب واقسام البروج وابعادها وعظمها وحركاتها وما يتبعها من هذا الفن ويسمي هذا القسم علم الهيءة ومنها قسم هو معرفة حل الزيجات وعمل التقاويم واستخراج التواريخ وما شاكل ذلك ومنها قسم هو معرفة كيفية الاستدلال بدوران الفلك وطوالع البروج وحركات الكواكب علي الكاءنات قبل كونها تحت فلك القمر ويسمي هذا ,1308,1680,Hindawi95926405Vols,0375IkhwanSafa.Rasail,,
0845Maqrizi.Mawaciz.Shamela0011566-ara1.0,429496850895,2,17,Shamela0010283-ara1.mARkdown,زحل والمشتري والمريخ والشمس والزهرة وعطارد والقمر وقالوا ان هذه الكواكب هي المعنية بقوله تعالي فالمدبرات امرا وسميت كنسا لانها تجري في البروج ثم تكنس اي تستتر كما تكنس الظباء وخنسا لاستقامتها ورجوعها وقيل الخنس والكنس منها خمسة دون الشمس والقمر وسميت خنسا لان الخنوس في كلام العرب الانقباض وفي الحديث الشريف الشيطان بوسوس للعبد فاذا ذكر الله تعالي خنس اي انقبض ورجع فيكون في الكوكب بمعني الرجوع وكنسا من قول العرب كنس الظبي اذا دخل الكناس وهو مقره ويكون في الكوكب اختفاءه تحت ضوء الشمس واسماء هذه الكواكب عند العرب مشتقة من صفاتها فقالوا في زحل زحل فلان اذا ابطا وبذلك سمي هذا الكوكب لبطءه في السماء وقيل الزحل والزحيل الحقد وهو في طبعه وهذا الكوكب عند المفسرين هو المعني بقول الله عز وجل والسماء والطارق وما ادراك ما الطارق النجم الثاقب وقالوا في المشتري انه انما سمي بذلك لحسنه كانه اشتري الحسن لنفسه وقيل لانه نجم الشراء والبيع ودليل الاموال والارباح وقالوا في المريخ انه ماخوذ من المرخ وهو شجر تحتك بعض اغصانه ببعض فتوري نارا فسمي بذلك لاحمراره وقال اخرون المريخ سهم لا ريش له اذا رمي به لا يستمر في ممره وكذلك المريخ فيه التواء كثير في سيره وحكمه فشبه بذلك وقالوا في الشمس انها لما ان كانت واسطة بين ثلاثة كواكب علوية وثلاثة سفلية ,268,1404,Shamela0010283,0733Nuwayri.NihayatArab,,
0845Maqrizi.Mawaciz.Shamela0011566-ara1.0,429496850895,2,11,Shamela0011566-ara1.completed,وهي زحل والمشتري والمريخ والشمس والزهرة وعطارد والقمر وقد نظمت في بيت واحد وهو زحل شري مريخه من شمسه فتزاهرت بعطارد الاقمار ويقال لهذه السبعة الخنس وقيل انها التي عناها الله تعالي بقوله فلا اقسم بالخنس الجوار الكنس التكوير والتي عناها الله تعالي بقوله فالمدبرات امرا النازعات وقيل لها الخنس لاستقامتها في سيرها ورجوعها وقيل لها الكنس لانها تجري في البروج ثم تكنس اي تستتر كما يكنس الظبي وقيل الكنس والخنس منها خمسة وهي ما سوي الشمس والقمر سميت بذلك من الانحناس وهو الانقباض وفي الحديث الشيطان يوسوس للعبد فاذا ذكر الله خنس اي انقبض ورجع فيكون الخنس علي هذا في الكواكب بمعني الرجوع وسميت بالكنس من قولهم كنس الظبي اذا دخل الكناس وهو مقرة فالكنس علي هذا في الكواكب بمعني اختفاءها تحت ضوء الشمس ويقال لهذه الكواكب المتحيرة لانها ترجع احيانا عن سمت مسيرها بالحركة الشرقية وتتبع الغربية في راي العين فيكون هذا الارتداد لها شبه التحير وهذه الاسماء التي لهذه الكواكب يقال انها مشتقة من صفاتها فزحل مشتق من زحل فلان اذا ابطا سمي بذلك لبطء سيره وقيل للزحل والزحل الحقد وهو بزعمهم يدل علي ذلك ويقال انه المراد في قوله تعالي والسماء والطارق وما ادراك ما الطارق النجم الثاقب الطارق والمشتري سمي بذلك لحسنه كانه اشتري الحسن لنفسه وقيل لانه نجم الشراء والبيع ودليل الريح والمال في قولهم والمريخ ماخوذ من المرخ وهو شجر يحتك بعض اغصانه ببعض فيوري نارا سمي بذلك لاحمراره وقيل المريخ سهم لا ريش له اذا رمي به لا يستوي في ممره وكذا المريخ فيه التواء كثير في سيره ودلالته بزعمهم تشبه ذلك والشمس لما كانت واسطة بين ثلاثة كواكب علوية لانهم من فوقها وثلاثة سفلية ,201,1641,Shamela0011566,0845Maqrizi.Mawaciz,,
0845Maqrizi.Mawaciz.Shamela0011566-ara1.0,180388746163,3,17,Shamela0010283-ara1.mARkdown,والقمر وسميت خنسا لان الخنوس في كلام العرب الانقباض وفي الحديث الشريف الشيطان بوسوس للعبد فاذا ذكر الله تعالي خنس اي انقبض ورجع فيكون في الكوكب بمعني الرجوع وكنسا من قول العرب كنس الظبي اذا دخل الكناس وهو مقره ويكون في الكوكب اختفاءه تحت ضوء الشمس واسماء هذه الكواكب عند العرب مشتقة من صفاتها فقالوا في زحل زحل فلان اذا ابطا وبذلك سمي هذا الكوكب لبطءه في السماء وقيل الزحل والزحيل الحقد وهو في طبعه وهذا الكوكب عند المفسرين هو المعني بقول الله عز وجل والسماء والطارق وما ادراك ما الطارق النجم الثاقب وقالوا في المشتري انه انما سمي بذلك لحسنه كانه اشتري الحسن لنفسه وقيل لانه نجم الشراء والبيع ودليل الاموال والارباح وقالوا في المريخ انه ماخوذ من المرخ وهو شجر تحتك بعض اغصانه ببعض فتوري نارا فسمي بذلك لاحمراره وقال اخرون المريخ سهم لا ريش له اذا رمي به لا يستمر في ممره وكذلك المريخ فيه التواء كثير في سيره وحكمه فشبه بذلك وقالوا في الشمس انها لما ان كانت واسطة بين ثلاثة كواكب علوية وثلاثة سفلية سميت بذلك لان الواسطة التي في المخنقة تسمي شمسة وقالوا في الزهرة انها مشتقة من الزاهر وهو الابيض النير من كل شء وقالوا في عطارد انه النافذ في الامور ولهذا سمي بالكاتب وهكذا هذا الكوكب كثير التصرف مع ما يلابسه ويقارنه وقالوا في القمر ,506,1637,Shamela0010283,0733Nuwayri.NihayatArab,,
0845Maqrizi.Mawaciz.Shamela0011566-ara1.0,180388746163,3,11,Shamela0011566-ara1.completed,والقمر سميت بذلك من الانحناس وهو الانقباض وفي الحديث الشيطان يوسوس للعبد فاذا ذكر الله خنس اي انقبض ورجع فيكون الخنس علي هذا في الكواكب بمعني الرجوع وسميت بالكنس من قولهم كنس الظبي اذا دخل الكناس وهو مقرة فالكنس علي هذا في الكواكب بمعني اختفاءها تحت ضوء الشمس ويقال لهذه الكواكب المتحيرة لانها ترجع احيانا عن سمت مسيرها بالحركة الشرقية وتتبع الغربية في راي العين فيكون هذا الارتداد لها شبه التحير وهذه الاسماء التي لهذه الكواكب يقال انها مشتقة من صفاتها فزحل مشتق من زحل فلان اذا ابطا سمي بذلك لبطء سيره وقيل للزحل والزحل الحقد وهو بزعمهم يدل علي ذلك ويقال انه المراد في قوله تعالي والسماء والطارق وما ادراك ما الطارق النجم الثاقب الطارق والمشتري سمي بذلك لحسنه كانه اشتري الحسن لنفسه وقيل لانه نجم الشراء والبيع ودليل الريح والمال في قولهم والمريخ ماخوذ من المرخ وهو شجر يحتك بعض اغصانه ببعض فيوري نارا سمي بذلك لاحمراره وقيل المريخ سهم لا ريش له اذا رمي به لا يستوي في ممره وكذا المريخ فيه التواء كثير في سيره ودلالته بزعمهم تشبه ذلك والشمس لما كانت واسطة بين ثلاثة كواكب علوية لانهم من فوقها وثلاثة سفلية لانهم ,633,1647,Shamela0011566,0845Maqrizi.Mawaciz,,
0845Maqrizi.Mawaciz.Shamela0011566-ara1.0,249108127030,2,11,Shamela0011566-ara1.completed,اعلم ان الكواكب اجسام كريات والذي ادرك منها الحكماء بالرصد الف كوكب وتسعة وعشرون كوكبا وهي علي قسمين سيارة وثابتة فالسيارة سبعة وهي زحل والمشتري والمريخ والشمس والزهرة وعطارد والقمر وقد نظمت في بيت واحد وهو زحل شري مريخه من شمسه فتزاهرت بعطارد الاقمار ويقال لهذه السبعة الخنس وقيل انها التي عناها الله تعالي بقوله فلا اقسم بالخنس الجوار الكنس التكوير والتي عناها الله تعالي بقوله فالمدبرات امرا النازعات وقيل لها الخنس لاستقامتها في سيرها ورجوعها وقيل لها الكنس لانها تجري في البروج ثم تكنس اي تستتر كما يكنس الظبي وقيل الكنس والخنس منها خمسة وهي ما سوي الشمس ,73,633,Shamela0011566,0845Maqrizi.Mawaciz,,
0845Maqrizi.Mawaciz.Shamela0011566-ara1.1,128849151473,2,173,Shamela0011566-ara1.completed,الحسن بن علي الاسدي اخبرني ابي قال وجدت في كتاب قبطي باللغة الصعيدية مما نقل الي اللغة العربية ان مبلغ ما كان يستخرج لفرعون مصر بحق الخراج الذي يوجد وساءر وجوه الجبايات لسنة كاملة علي العدل والانصاف والرسوم الجارية من غير اضطهاد ولا مناقشة علي عظيم فضل كان في يد المءدي لرسمه وبعد وضع ما يجب وضعه لحوادث الزمان رفقا بالمعاملين وتقوية لهم من العين ,1262,1609,Shamela0011566,0845Maqrizi.Mawaciz,,
0845Maqrizi.Mawaciz.Shamela0011566-ara1.1,128849151473,2,205,Shamela0001585-ara1.mARkdown,الحسن بن علي الاسدي اخبرني ابي قال وجدت في كتاب قبطي باللغة الصعيدية مما نقل بالعربية ان مبلغ ما كان يستخرج لفرعون يوسف عليه السلام من اموال مصر بحق الخراج مما يءخذ من وجوه الجبايات لسنة واحدة علي العدل والانصاف والرسوم الجارية من غير اضطهاد ولا مناقشة وبعد وضع ما يجب وضعه لحوادث الزمان نظرا للمعاملين وتقوية لحالهم من الذهب العين ,151,483,Shamela0001585,0520IbnMuhammadTurtushi.SirajMuluk,,Shared source - or used with Jawwani
0845Maqrizi.Mawaciz.Shamela0011566-ara1.1,128849151474,2,2885,Shamela0010283-ara1.mARkdown,سبعة وتسعين الف الف فاحب ان يتمه ماءة الف الف دينار فامر بوجوه العمارات واصلاح الجسور والزيادة في استنباط الاراضي حتي بلغ ذلك وزاد عليه ,356,492,Shamela0010283,0733Nuwayri.NihayatArab,,
