result_id,cluster,size,seq,series,text,begin,end,id,book,Jawwani,
0874IbnTaghribirdi.NujumZahira.JK001330-ara1.0,154618921580,3,2393,Shamela0023735-ara1.mARkdown,علي دثور الخطط انني سمعت الامير تاييد الدولة تميم بن محمد المعروف بالصمصام يقول حدثني القاضي ابو الحسن علي بن الحسين الخلعي يقول عن القاضي ابي عبد الله القضاعي انه قال كان في مصر من المساجد ستة وثلاثون الف مسجد وثمانية الاف شارع مسلوك والف وماءة وسبعون حماما ,490,749,Shamela0023735,0626YaqutHamawi.MucjamBuldan,x,Citation further up
0874IbnTaghribirdi.NujumZahira.JK001330-ara1.0,154618921580,3,32,JK001330-ara1.mARkdown,الشريف النسابة الثقة محمد بن اسعد الجواني في كتابه المسمي بالنقط لمعجم ما اشكل من الخطط سمعت الامير تاييد الدولة تميم بن محمد المعروف بالصمصام يقول في سنة تسع وثلاثين وخمسماءة حدثني القاضي ابو الحسن علي بن الحسين الخلعي عن القاضي القضاعي ابي عبد الله انه قال كان في مصر من المساجد ستة وثلاثون الف مسجد وثمانية الاف شارع مسلوك والف وماءة وسبعون حماما وان ابا الحسن ابن حمزة الحسني ذكر انه عرض له دخول حمام سالم الذي عند درب سالم في اول القرافة يعني حمام جنادة بن عيسي المعافري الذي عند مصبغة الحفارين المعروفة بفسقية ابن طولون قلت وفسقية ابن طولون هي عند المقبرة الكبيرة علي يسرة المتوجه الي القرافة بالقرب من قبر القاضي بكار اه قال وانه ما وصل اليه الا بعد عناء من الزحام وانه كانت قبالة الحمام في كل يوم جمعة خمسماءة درهم ,876,1599,JK001330,0874IbnTaghribirdi.NujumZahira,x,
0874IbnTaghribirdi.NujumZahira.JK001330-ara1.0,154618921580,3,754,Shamela0011566-ara1.completed,الشريف ابو عبد الله محمد بن اسعد الجواني النسابة في كتاب النقط علي الخطط سمعت الامير تاييد الدولة تميم بن محمد المعروف بالضمضام يقول في سنة تسع وثلاثين وخمسماءة وحدثني القاضي ابو الحسين علي بن الحسين الخلعي عن القاضي ابي عبد الله القضاعي قال كان في مصر الفسطاط من المساجد ستة وثلاثون الف مسجد وثمانية الاف شارع مسلوك والف وماءة وسبعون حماما وان حمام جنادة في القرافة ما كان يتوصل اليها الا بعد عناء من الزحام وان قبالتها في كل يوم جمعة خمسماءة درهم ,691,1140,Shamela0011566,0845Maqrizi.Mawaciz,x,Cited
0874IbnTaghribirdi.NujumZahira.JK001330-ara1.1,60129758001,9,1501,Shamela0010906-ara1.mARkdown,مجالد عن الشعبي عن قبيصة بن جابر قد صحبت عمرو بن العاص فما رايت رجلا ابين او انصع رايا ولا اكرم جليسا منه ولا اشبه سريرة بعلانية منه قال محمد بن سلام الجمحي كان عمر اذا راي الرجل يتلجلج في كلامه قال خالق هذا وخالق عمرو بن العاص واحد ,721,954,Shamela0010906,0748Dhahabi.SiyarAclamNubala,,
0874IbnTaghribirdi.NujumZahira.JK001330-ara1.1,60129758001,9,1046,Shamela0035100-ara1.mARkdown,وقال مجالد عن الشعبي عن قبيصة بن جابر قال صحبت عمر فما رايت رجلا اقرا لكتاب الله منه ولا افقه في دين الله منه ولا احسن مداراة منه وصحبت طلحة بن عبيد الله فما رايت رجلا اعطي لجزيل منه من غير مسالة وصحبت معاوية فما رايت احلم منه وصحبت عمرو بن العاص فما رايت رجلا ابين او قال انصع طرفا منه ولا اكرم جليسا ولا اشبه سريرة بعلانية منه وصحبت المغيرة بن شعبة فلو ان مدينة لها ثمانية ابواب لا يخرج من باب منها الا بمكر لخرج من ابوابها كلها وقال موسي بن علي بن رباح قال حدثنا ابي قال حدثنا ابو قيس مولي عمرو بن العاص ,120,627,Shamela0035100,0748Dhahabi.TarikhIslam,,
0874IbnTaghribirdi.NujumZahira.JK001330-ara1.1,60129758001,9,2500,JK000134-ara1.mARkdown,لعمرو بن العاص علي ابي بكر وعمرو سراة اصحابه وفي حديث محمد بن عمر عن ابي سلمة عن ابي هريرة رفعه ابنا العاصي مءمنان عمرو وهشام اخرجه وعن بن ابي مليكة قال قال طلحة سمعت رسول الله صلي الله عليه وسلم يقول عمرو بن العاص من صالحي قريش الحديث وقال مجاهد عن الشعبي عن قبيصة بن جابر صحبت عمرو بن العاص فما رايت رجلا ابين او قال انصع رايا ولا اكرم جليسا ولا اشبه سريرته بعلانيته منه وقال محمد بن سلام الجمحي كان عمر بن الخطاب اذا راي الرجل يتلجلج في كلامه قال خالق هذا وخالق عمرو بن العاص واحد وقال مجاهد عن الشعبي دهاة العرب اربعة معاوية وعمرو والمغيرة وزياد فاما معاوية فللحلم واما عمرو فللمعضلات ,801,1390,JK000134,0852IbnHajarCasqalani.TahdhibTahdhib,,
0874IbnTaghribirdi.NujumZahira.JK001330-ara1.1,60129758001,9,48,JK001330-ara1.mARkdown,وقال مجالد عن الشعبي عن قبيصة عن جابر قال صحبت عمر بن الخطاب فما رايت اقرا لكتاب الله منه ولا افقه في دين الله منه ولا احسن مداراة منه وصحبت طلحة بن عبيد الله فما رايت رجلا اعطي للجزيل منه من غير مسءلة وصحبت معاوية فما رايت رجلا احلم منه وصحبت عمرو بن العاص فما رايت رجلا ابين او قال انصع ظرفا منه ولا اكرم جليسا ولا اشبه سريرة بعلانية منه وصحبت المغيرة بن شعبة فلو ان مدينة لها ثمانية ابواب لا يخرج من باب منها الا بمكر لخرج من ابوابها كلها وقال موسي بن علي بن رباح حدثنا انا ابي حدثنا ابو قيس مولي عمرو بن العاص ,30,544,JK001330,0874IbnTaghribirdi.NujumZahira,,
0874IbnTaghribirdi.NujumZahira.JK001330-ara1.1,60129758001,9,1767,JK000533-ara1.mARkdown,مهاجر عن الشعبي عن قبيصة بن جابر صحبت عمرو بن العاص فما رايت رجلا ابين قرانا ولا اكرم خلقا ولا اشبه سريرة بعلانية منه وقال محمد بن سلام الجمحي كان عمر اذا راي الرجل يتلجلج في كلامه يقول اشهد ان خالق هذا وخالق عمرو بن العاص واحد وكان الشعبي يقول دهاة العرب في الاسلام اربعة فعد منهم عمرا وقال فاما عمرو فللمعضلات ,65,377,JK000533,0852IbnHajarCasqalani.IsabaFiTamyiz,,
0874IbnTaghribirdi.NujumZahira.JK001330-ara1.1,60129758001,9,5254,Shamela0003722-ara1.completed,لعمرو بن العاص علي ابي بكر وعمر وسراة اصحابه قال سفيان اراه غزوة ذات السلاسل وقال مجالد عن الشعبي عن قبيصة بن جابر صحبت عمرو ابن العاص فما رايت رجلا ابين او قال انصع رايا ولا اكرم جليسا ولا اشبه سريرة بعلانية منه وقال محمد بن سلام الجمحي كان عمر بن الخطاب اذا راي الرجل يتلجلج في كلامه قال خالق هذا وخالق عمرو بن العاص واحد ,1,325,Shamela0003722,0742Mizzi.TahdhibKamal,,
0874IbnTaghribirdi.NujumZahira.JK001330-ara1.1,60129758001,9,1401,Sham19Y0149213-ara1,وقال مجالد عن الشعبي عن قبيصة بن جابر قال صحبت عمرو ابن العاص فما رايت رجلا ابين او قال انصع رايا منه ولا اكرم جليسا ولا اشبه سريرة بعلانية منه وعن عمر بن الخطاب انه كان اذا راي من يتلجلج في كلامه قال خالق هذا وخالق عمرو بن العاص واحد وقال موسي بن علي بن رباح عن ابيه سمع عمرو بن العاص ,745,1031,Sham19Y0149213,0748Dhahabi.TadhhibTahdhib,,
