result_id,cluster,size,seq,series,text,begin,end,id,book,Jawwani
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,2.14748E+11,7,334,Shamela0023735-ara1.mARkdown,يوسف بن عبد الله بن خيرون القضاعي الاندي سمع من ابي عمر يوسف بن عبد البر وحدث عنه الموطا ودخل بغداد سنة وسمع من ابي القاسم بن بيان وابي الغناءم بن النرسي ومن ابي محمد القاسم بن علي الحريري مقاماته في شوال من هذه السنة وعاد الي المغرب فهو اول من دخلها بالمقامات قاله ابن الدبيثي وينسب اليها ايضا ابو الحجاج يوسف بن علي بن محمد ابن عبد الله بن علي بن محمد القضاعي الاندي مات في سنة قاله ابو ,271,660,Shamela0023735,0626YaqutHamawi.MucjamBuldan,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,2.14748E+11,7,6,JK007097-ara1,النون دال مهملة مفتوحة ثم هاء قال مدينة بالاندلس منها الحافظ الفقيه ابو الوليد يوسف بن عبد العزيز ابن الدباغ الاندي سمع ابا علي الصدفي مات سنة ست واربعين وخمس مءة قلت وابو عمر يوسف بن عبد الله بن خيرون القضاعي الاندي سمع من ابن عبد البر وغيره وابو الحجاج يوسف بن علي بن محمد بن عبد الله بن علي بن محمد القضاعي الاندي ابن القفال ,585,913,JK007097,0842IbnNasirDinDimashqi.TawdihMushtabih,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,2.14748E+11,7,18,JK007097-ara1,النون دال مهملة مفتوحة ثم هاء قال مدينة بالاندلس منها الحافظ الفقيه ابو الوليد يوسف بن عبد العزيز ابن الدباغ الاندي سمع ابا علي الصدفي مات سنة ست واربعين وخمس مءة قلت وابو عمر يوسف بن عبد الله بن خيرون القضاعي الاندي سمع من ابن عبد البر وغيره وابو الحجاج يوسف بن علي بن محمد بن عبد الله بن علي بن محمد القضاعي الاندي ابن القفال ,598,926,JK007097,0842IbnNasirDinDimashqi.TawdihMushtabih,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,2.14748E+11,7,41,Shamela0005797-ara1.completed,الاندي والابدي اما الاول بضم الهمزة وسكون النون وكسر الدال المهملة فهو الحافظ ابو الوليد يوسف بن عبد العزيز بن ابراهيم الاندي المعروف بابن الدباغ حدث عن ابي عمران موسي بن ابي تليد وغيره وله كتاب لطيف في مشتبه الاسماء ومشتبه النسبة رايته بمصر واستفدت منه اعني الكتاب سمع منه الحافظ ابو محمد عبد الله بن محمد بن عبد الله بن علي الاشيري نقلت نسبه من خط الاشيري وقال توفي سنة اربع واربعين واربعماءة وابو عمر يوسف بن عبد الله بن خيرون القضاعي الاندي ذكره ابو الوليد وقال جارنا من اهل اندة سمع من ابي عمر بن عبد البر وغيره وحدث بالموطا عنه وابو الحجاج يوسف بن علي بن محمد الاندي حدث ,1,578,Shamela0005797,0629IbnNuqta.TakmilatIkmal,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,2.14748E+11,7,15,Shamela0004092-ara1,الاني انتهي الابدي بالضم وتشديد الموحدة وفتحها والذال المعجمة من ابذة بليدة بالاندلس جماعة وباسكان النون واهمال الذال الحافظ الفقيه ابو الوليد يوسف بن عبد العزيز بن الدباغ الاندي مات سنة ه قلت وابو عمر يوسف بن عبد الله بن خيرون القضاعي قال ابن الدباغ كان جارنا وسمع من ابي عمر بن عبد البر ويوسف بن علي الاندي حدث عنه العثماني في فواءده ذكرهما ابن نقطة ومحمد بن ياسر بن احمد الزهري الاندي ولد سنة ه ومات سنة ه ذكره ابن الرشاطي ويوسف بن علي بن محمد القضاعي الاندي المعروف بالقفال لحمله اياها في يده ذكره ابن النجار انتهي ,106,625,Shamela0004092,0852IbnHajarCasqalani.TabsirMuntabih,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,3.52188E+11,2,334,Shamela0023735-ara1.mARkdown,انساباذ بفتح اوله وثانيه قرية من رستاق الاعلم من اعمال همذان بينها وبين زنجان وهي قرب دركزين ويقال ان الوزير الدركزيني من اهلها ونذكره في دركزين ان شاء الله تعالي انسان بلفظ الانسان ضد البهيمة قال ابو زياد من بلاد جعفر بن كلاب وقال في موضع للضباب في جبال طخفة بالحمي حمي ضرية انسان وهو ماء بالحمي الي جنب جبل يسمي الريان وانسان الذي يقول فيه الراجز خلية ابوابها كالطيقان احمي بها الملك جنوب الريان فكبشات فجنوب انسان انسب اخره باء بوزن احمر من حصون بني زبيد باليمن الانسر بضم السين بلفظ جمع النسر من الطير ,875,1381,Shamela0023735,0626YaqutHamawi.MucjamBuldan,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,3.52188E+11,2,71,Shamela0011484-ara1,انساباذ بفتحتين قرية من رستاق الاعلم من نواحي همذان قرب در كزين انسان بلفظ الادمي ماء بحمي ضرية الي بلد جنب جبل الريان انسب بوزن احمر اخره باء موحدة من حصون بني زبيد باليمن الانسر جمع قلة لنسر ماء لطيء ,209,411,Shamela0011484,0739SafiDinHanbali.Marasid,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,42949776305,2,334,Shamela0023735-ara1.mARkdown,اليها كثير من اهل العلم منهم ابو عمر يوسف بن عبد الله بن خيرون القضاعي الاندي سمع من ابي عمر يوسف بن عبد البر وحدث عنه الموطا ودخل بغداد سنة وسمع من ابي القاسم بن بيان وابي الغناءم بن النرسي ومن ابي محمد القاسم بن علي الحريري مقاماته في شوال من هذه السنة وعاد الي المغرب فهو اول من دخلها بالمقامات قاله ابن الدبيثي وينسب اليها ايضا ابو الحجاج يوسف بن علي بن محمد ابن عبد الله بن علي بن محمد القضاعي الاندي مات في سنة قاله ابو الحسن بن المفضل المقدسي وابو الوليد يوسف بن عبد العزيز بن ابراهيم الاندي المعروف بابن الدباغ ,234,753,Shamela0023735,0626YaqutHamawi.MucjamBuldan,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,3.52188E+11,2,334,Shamela0023735-ara1.mARkdown,عمر يوسف بن عبد الله بن خيرون القضاعي الاندي سمع من ابي عمر يوسف بن عبد البر وحدث عنه الموطا ودخل بغداد سنة وسمع من ابي القاسم بن بيان وابي الغناءم بن النرسي ومن ابي محمد القاسم بن علي الحريري مقاماته في شوال من هذه السنة وعاد الي المغرب فهو اول من دخلها بالمقامات قاله ابن الدبيثي وينسب اليها ايضا ابو الحجاج يوسف بن علي بن محمد ابن عبد الله بن علي بن محمد القضاعي الاندي مات في سنة قاله ابو الحسن بن المفضل المقدسي وابو الوليد يوسف بن عبد العزيز بن ابراهيم ,267,726,Shamela0023735,0626YaqutHamawi.MucjamBuldan,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,3.52188E+11,2,18,JK007097-ara1,عمر يوسف بن عبد الله بن خيرون القضاعي الاندي سمع من ابن عبد البر وغيره وابو الحجاج يوسف بن علي بن محمد بن عبد الله بن علي بن محمد القضاعي الاندي ابن القفال حدث عن ابي الغناءم محمد بن علي بن ميمون النرسي وغيره وعنه ابو محمد عبد الله بن عبد الرحمن بن يحيي بن اسماعيل ,770,1035,JK007097,0842IbnNasirDinDimashqi.TawdihMushtabih,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,3.52188E+11,2,334,Shamela0023735-ara1.mARkdown,الوليد يوسف بن عبد العزيز بن ابراهيم الاندي المعروف بابن الدباغ حدث عن ابي عمران بن ابي تليد وغيره وله كتاب لطيف في مشتبه الاسماء ومشتبه النسبة سمع منه الحافظ ابو عبد الله محمد ,689,866,Shamela0023735,0626YaqutHamawi.MucjamBuldan,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,3.52188E+11,2,41,Shamela0005797-ara1.completed,الوليد يوسف بن عبد العزيز بن ابراهيم الاندي المعروف بابن الدباغ حدث عن ابي عمران موسي بن ابي تليد وغيره وله كتاب لطيف في مشتبه الاسماء ومشتبه النسبة رايته بمصر واستفدت منه اعني الكتاب سمع منه الحافظ ابو محمد عبد الله بن محمد ,83,308,Shamela0005797,0629IbnNuqta.TakmilatIkmal,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,3.52188E+11,2,334,Shamela0023735-ara1.mARkdown,عمر يوسف بن عبد الله بن خيرون القضاعي الاندي سمع من ابي عمر يوسف بن عبد البر وحدث عنه الموطا ودخل بغداد سنة وسمع من ابي القاسم بن بيان وابي الغناءم بن النرسي ومن ابي محمد القاسم بن علي الحريري مقاماته في شوال من هذه السنة وعاد الي المغرب فهو اول من دخلها بالمقامات قاله ابن الدبيثي وينسب اليها ايضا ابو الحجاج يوسف بن علي بن محمد ابن عبد الله بن علي بن محمد القضاعي الاندي مات في سنة قاله ابو الحسن بن المفضل المقدسي وابو الوليد يوسف بن عبد العزيز بن ابراهيم ,267,726,Shamela0023735,0626YaqutHamawi.MucjamBuldan,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.0,3.52188E+11,2,6,JK007097-ara1,عمر يوسف بن عبد الله بن خيرون القضاعي الاندي سمع من ابن عبد البر وغيره وابو الحجاج يوسف بن علي بن محمد بن عبد الله بن علي بن محمد القضاعي الاندي ابن القفال حدث عن ابي الغناءم محمد بن علي بن ميمون النرسي وغيره وعنه ابو محمد عبد الله بن عبد الرحمن بن يحيي بن اسماعيل ,757,1022,JK007097,0842IbnNasirDinDimashqi.TawdihMushtabih,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.1,34359867302,3,2392,Shamela0023735-ara1.mARkdown,فامر خمارويه بن احمد بن طولون بعمارته وكتب اسمه عليه ثم زاد فيه ابو حفص عمر القاضي العباسي في رجب سنة ثم زاد فيه ابو بكر محمد بن عبد الله بن الخازن رواقا واحدا مقداره تسعة اذرع في سنة ومات قبل تتمتها فاتمها ابنه علي وفرغت في سنة ثم زاد فيه في ايام الوزير يعقوب بن يوسف بن كلس الفوارة التي تحت قبة بيت المال ,6,313,Shamela0023735,0626YaqutHamawi.MucjamBuldan,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.1,34359867302,3,1684,Shamela0011566-ara1.completed,ثم زاد فيه ابو بكر محمد بن عبد الله الخازن رواقا واحدا من دار الضرب وهو الرواق ذو المحراب والشباكين المتصل برحبة الحارث ومقداره تسع اذرع وكان ابتداء ذلك في رجب سنة سبع وخمسين وثلاثماءة ومات قبل تمام هذه الزيادة وتممها ابنه علي بن محمد وفرغت في العشر الاخر من شهر رمضان سنة ثمان وخمسين وثلاثماءة وزاد فيه الوزير ابو الفرج يعقوب بن يوسف بن كلس بامر العزيز بالله الفوارة التي تحت قبة بيت المال ,289,680,Shamela0011566,0845Maqrizi.Mawaciz,
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.1,34359867301,3,2392,Shamela0023735-ara1.mARkdown,النيل سبع سنين يمد وينزل فلا يجد من يزرع الارض وقد بقي من اهل مصر بقايا يسيرة ضعيفة كاسفة البال وقد انقطعت عنها الطرق وخيفت السبل وبلغ الحال بهم الي ان الرغيف الذي وزنه رطل من الخبز يباع في زقاق القناديل كبيع الطرف في النداء باربعة عشر درهما وبخمسة عشر درهما ويباع اردب القمح بثمانين دينارا ثم عرم ذلك وتزايد الي ان اكلت الدواب والكلاب والقطاط ثم اشتدت الحال الي ان اكل ,1133,1503,Shamela0023735,0626YaqutHamawi.MucjamBuldan,?
0626YaqutHamawi.MucjamBuldan.Shamela0023735-ara1.1,34359867301,3,383,Shamela0000176-ara1.completed,وعم مع الغلاء وباء شديد وشمل الخوف من العسكرية وفساد العبيد فانقطعت الطرقات برا وبحرا الا بالخفارة الكبيرة مع ركوب الغرر وبيع رغيف من الخبز زنته رطل في زقاق القناديل كما تباع التحف والطرق في النداء خراج خراج فبلغ اربعة عشر درهما وبيع اردب قمح بثمانين دينارا ثم عدم ذلك كله واكلت الكلاب والقطط فبيع كلب ليءكل بخمسة دنانير وابيعت حارة بمصر بطبق خبز حسابا عن كل دار رغيف فعرفت تلك الحارة بعد ذلك بحارة طبق وما زالت تعرف بذلك حتي دثرت فيما دثر من خطط مصر واكل الناس نحاتة النخل ثم تزايد الحال حتي اكل الناس بعضهم بعضا وكان بمصر طواءف من اهل الفساد قد سكنوا بيوتا قصيرة السقوف قريبة ممن ,1006,1588,Shamela0000176,0845Maqrizi.ItticazHunafa,?
