id1,first1,uid1,bw1,ew1,b1,e1,len1,tok1,s1,seq1,gid1,id2,first2,uid2,bw2,ew2,b2,e2,len2,tok2,s2,seq2,gid2,matches,score,ch_match,align_len,matches_percent,w_match,series_b1,series_b2,id,book,date
Shamela0011566-ara1.completed.ms0427,False,-9061577125727286246,0,110,1,549,1547,300,الله عليه وسلم الي تبوك اتاه تحية بن روبة صاحب ايلة فصالحه---------------------------- واعطاه الجزية واتاه اهل جرباء واذرح فاعطوه الجزية وكتب -----------------------------لهم كتابا فهو عندهم وكتب لتحية بن روبة بسم الله الرحمن الرحيم هذا امنة من الله ومحمد النبي -رسوله لتحية بن روبة واهل ايلة اساقف-هم وساءرهم في البر والبحر لهم ذمة الله وذمة النبي ومن كان معهم من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب لمن اخذه من الناس وانه لا يحل ان يمنعوا ما يريدونه ولا طريقا يريدونه من بر او بحر هذا كتاب جهيم بن الصلت وشرحبيل بن حسنة باذن رسول الله صلي الله عليه وسلم,427,-3654492682322209607,JK000916-ara1.mARkdown.ms00379,True,6796613778007043429,74,196,373,979,1511,300,الله عليه وسلم الي تبوك اتاه يحنة بن رءبة صاحب ايلة فصالح رسول الله صلي الله عليه وسلم واعطاه الجزية واتاه اهل جرباء واذرح فاعطوه الجزية وكتب رسول الله صلي الله عليه وسلم لهم كتابا فهو عندهم فكتب ليحنة بن رءبة بسم الله الرحمن الرحيم هذه امنة من الله ومحمد النبي ورسوله ليحنة بن رءبة واهل ايلة اساقفتهم وساءرهم في البر والبحر لهم ذمة الله وذمة النبي ومن كان معه -من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب لمن اخذه من الناس وانه لا يحل ان يمنعوا ما يريدونه ولا طريقا يريدونه من بر او بحر هذا كتاب جهيم بن الصلت وشرحبيل بن حسنة باذن رسول الله صلي الله عليه وسلم,379,-7012536273894343423,534,1016.0,425,607,87.97364044189453,99,Shamela0011566-ara1.completed,JK000916-ara1.mARkdown,JK000916,0571IbnCasakir.TarikhDimashq,571
Shamela0011566-ara1.completed.ms0427,True,-9061577125727286246,29,107,154,534,1547,300,بسم الله الرحمن الرحيم هذا امنة من الله ومحمد النبي رسوله لتحي-----ة بن روبة واهل ايلة اس---------اقفهم وساءرهم في البر والبحر لهم ذمة الله وذمة ال-----نبي و-من كان معهم ----------------من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب- لمن اخذه من الناس وانه لا يحل ان يمنعوا ما- يريدونه ولا طريقا يريدونه- من بر او بحر هذا كتاب جهيم بن ا-----------------------------لصلت وشرحبيل بن حسنة باذن رسول الله صلي,427,-3654492682322209607,JK006800-ara1.completed.ms134,False,4164221251514925574,147,230,709,1120,1455,300,بسم الله الرحمن الرحيم هذه امنة من الله ومحمد النبي رسول الله ليوحنة بن روبة واهل ايلة لسفنهم ولسيارتهم ولبحرهم ولبر------------هم ذمة الله وذمة محمد النبي ولمن كان معهم من كل مار الناس من اهل الشام و----اليمن واهل البحر فمن احدث----- حدثا فانه لا يحول ماله دون نفسه وانه طيبة لمن اخذه من الناس ول----ا يحل ان يمنعوا ماء يرد-ونه ولا طريقا ير-دونها من بر او بحر هذا كتاب جهيم بن الصلت قال ابو عبيد وجهيم اسم الكات----------ب وهذا كتاب رسول الله الي,134,956581549022712335,311,515.0,242,448,69.41963958740234,52,Shamela0011566-ara1.completed,JK006800-ara1.completed,JK006800,0224QasimIbnSalam.Amwal,224
Shamela0011566-ara1.completed.ms0427,True,-9061577125727286246,16,107,84,534,1547,300,جرباء واذرح فاعطوه الجزية وكتب لهم ------كتابا فهو عندهم وكتب لتحية بن روبة بسم الله الرحمن الرحيم هذا امنة من الله ومحمد النبي رسو----له لتحية -بن روبة واهل ايلة اساقف-هم وساءرهم في البر والبحر لهم ذمة الله وذمة النبي ومن كان معهم من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب لمن اخذه من الناس وانه لا يحل ان يمنعوا ما يريدونه ولا طريقا يريدونه من بر او بحر هذا كتاب جهيم بن الصلت وشرحبيل بن حسنة باذن رسول الله صلي,427,-3654492682322209607,JK006838-ara1.mARkdown.ms1161,False,-8543240169439790826,0,92,1,456,1490,300,جرباء واذرح فاعطوه الجزية وكتب رسول الله كتابا فهو عندهم فكتب ليحنة بن رءبة بسم الله الرحمن الرحيم هذه امنة من الله ومحمد------ رسول الله ليحنة ابن رءبة واهل ايلة اساقفتهم وساءرهم في البر والبحر لهم ذمة الله وذمة النبي ومن كان معه -من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب لمن اخذه من الناس وانه لا يحل ان يمنعوا ما يريدونه ولا طريقا يريدونه من بر او بحر هذا كتاب جهيم بن الصلت وشرحبيل بن حسنة باذن رسول الله قال,1161,5946361561332908235,427,810.5,339,462,92.42424011230469,77,Shamela0011566-ara1.completed,JK006838-ara1.mARkdown,JK006838,0458Bayhaqi.DalailNubuwwa,458
Shamela0011566-ara1.completed.ms0427,False,-9061577125727286246,3,95,16,476,1547,300,الي تبوك اتاه تحية -بن روبة صاحب ايلة فصالح---------ه واعطاه الجزية واتاه اهل جرباء واذرح فاعطوه الجزية وكتب لهم---------- كتابا فهو عندهم وكتب لتحية بن روبة بسم الله الرحمن الرحيم هذا امنة من الله ومحمد النبي رسو----له لتحية بن روبة واهل ايلة اساقفهم وساءر-هم في البر والبحر لهم ذمة الله وذمة ال-----نبي ومن كان معهم من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب- لمن اخذه من الناس وانه لا يحل ان يمنعوا ما يريد---ونه ولا طريقا يريدونه- من بر او بحر,427,-3654492682322209607,JK009324-ara1.ms1739,True,-8137654288651939921,120,213,607,1061,1499,300,الي تبوك اتاه بحنة ابن رءبة صاحب ايلة فصالح رسول الله واعط-ي الجز------------------------------------ية وكتب لهم رسول الله كتابا فهو عندهم وكتب لبحنة بن رءبة بسم الله الرحمن الرحيم هذه امنة من الله ومحمد النبي رسول الله لبحنة بن رءبة واهل ايلة سفن--هم وسيارتهم في البر والبحر لهم ذمة الله وذمة محمد النبي ومن كان معهم من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيبة لمن اخذه من الناس وانه لا يحل ان يمنعوا من ماء يردونه ولا طريق- ير-دونها من بر او بحر,1739,-8587968555440064930,396,698.0,310,495,80.0,67,Shamela0011566-ara1.completed,JK009324-ara1,JK009324,0449IbnBattalQurtubi.SharhSahihBukhari,449
Shamela0011566-ara1.completed.ms0427,True,-9061577125727286246,29,107,154,534,1547,300,بسم الله الرحمن الرحيم هذا امنة من الله ومحمد النبي رسو----له لتحية بن روبة واهل ايلة اساقف---------هم وساءرهم في البر والبحر لهم ذمة الله و-ذمة النبي و-من كان معهم -------------------من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب- لمن اخذه من الناس وانه لا يحل ان يمنعوا ما- يريدونه ولا طريقا يريدونه- من ب-ر او بحر هذا كتاب جهيم بن الصلت وشرحبيل بن حسنة باذ-----ن رسول الله صلي,427,-3654492682322209607,JK011302-ara1.ms188,False,-6127346861371575141,82,162,424,819,1482,300,بسم الله الرحمن الرحيم هذه امنة من الله ومحمد النبي رسول الله ليحنة بن رءبة واهل ايلة لسفن-هم وسيارتهم ولبحرهم ولبر------------هم ذمة الله ومحمد النبي ولمن كان معهم من كل مار من الناس من اهل الشام و----اليمن واهل البحر فمن احدث----- حدثا فانه لا يحول ماله دون نفسه وانه طيبة لمن اخذه من الناس ول----ا يحل ان يمنعوا ماء يرد-ونه ولا طريقا ير-دونها من بحر او بر وهذا كتاب جهيم بن الصلت يحول يحجز ويمنع وهذا كتاب رسول الله الي,188,-1600768646601919294,314,508.5,245,423,74.23168182373047,50,Shamela0011566-ara1.completed,JK011302-ara1,JK011302,0251IbnZanjawayh.Amwal,251
Shamela0011566-ara1.completed.ms0427,True,-9061577125727286246,0,95,1,476,1547,300,الله عليه وسلم الي تبوك اتاه تحية بن روبة صاحب ايلة فصالحه---------------------------- واعطاه الجزية واتاه اهل --جرباء واذرح فاعطوه الجزية وكتب له-----------------------------م كتابا فهو عندهم وكتب لتحية بن روبة بسم الله الرحمن الرحيم هذا امنة من الله ومحمد النبي رسو----له لتحية بن روبة واهل ايلة اساقفهم وساءر-هم في البر والبحر لهم ذمة الله وذمة ال-----نبي ومن كان معهم من اهل الشام واهل اليمن واهل البحر فم--ن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب- لمن اخذه من الناس وانه لا يحل ان يمنعوا ما- يريدونه ولا طريقا يريدونه- من بر او بحر,427,-3654492682322209607,Sham19Y0013252-ara1.ms05600,False,-7454412366079206731,148,257,756,1300,1514,300,الله عليه وسلم الي تبوك اتاه يحنة بن رءبة صاحب ايلة فصالح رسول الله صلي الله عليه وسلم واعط-ي الجزية واتاه اهل الجرباء واذرح فاعطوه الجزية وكتب لهم رسول الله صلي الله عليه وسلم كتابا فهو عندهم وكتب ليحنة بن رءبة بسم الله الرحمن الرحيم هذه امنة من الله ومحمد النبي رسول الله ليحنة بن رءبة واهل ايلة سفن--هم وسيارتهم في البر والبحر لهم ذمة الله وذمة محمد النبي ومن كان معهم من اهل الشام واهل اليمن واهل البحرين فان احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيبة لمن اخذه من الناس وانه لا يحل ان يمنعوا ماء يرد-ونه ولا طريقا ير-دونها من بر او بحر,5600,3697653286825626163,447,794.0,353,549,81.42076873779297,75,Shamela0011566-ara1.completed,Sham19Y0013252-ara1,Sham19Y0013252,0804IbnMulaqqin.Tawdih,804
Shamela0011566-ara1.completed.ms0427,True,-9061577125727286246,30,110,158,549,1547,300,الله الرحمن الرحيم هذا امنة من الله ومحمد النبي رسو----له لتحية بن روبة واهل ايلة اساقف--------------------هم وساءر-هم في البر والبحر لهم ذمة الله وذمة النبي و-----------------------------من كان معهم من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب- لمن اخذه من الناس وانه لا يحل ان يمنعوا ما- يريدونه ولا طريقا يريدونه من بر او بحر هذا كتاب جهيم بن الصلت وشرحبيل بن حسنة باذن رسول الله صلي الله عليه وسلم,427,-3654492682322209607,Sham19Y0016684-ara1.ms0622,False,5204564498077434208,0,89,1,431,1472,300,الله الرحمن الرحيم هذا امنة من الله ومحمد------ رسول الله ليحنة بن رءبة واهل ايلة والبحر ومن احدث حدثا لسفنهم وسار بهم في البر والبحر لهم ذمة الله وذمة محمد رسول الله صلي الله عليه وسلم ولمن كان معهم من اهل الشام واهل اليمن واهل البحر ومن احدث ح-----دثا فانه لا يحول ماله دون نفس-----ه طيبة لمن اخذه من الناس وانه لا يحل ان يمنعوا ماء يرد-ونه ولا طريقا يريدونه من بر او بحر هذا كتاب جهيم بن الصلت وشرحبيل بن حسنة باذن رسول الله صلي الله عليه وسلم,622,6511020490880680296,354,626.5,278,447,79.19463348388672,64,Shamela0011566-ara1.completed,Sham19Y0016684-ara1,Sham19Y0016684,0827BadrDinDamaminiMakhzumi.MasabihJamic,827
Shamela0011566-ara1.completed.ms0427,True,-9061577125727286246,2,110,11,549,1547,300,وسلم الي -----------تبوك اتاه تحية بن روبة صاحب ايلة فصالحه---------------------------- واعطاه الجزية واتاه اهل جرباء واذرح فاعطوه الجزية وكتب لهم -----------------------------كتابا فهو عندهم وكتب لتحية بن روبة بسم الله الرحمن الرحيم هذا امنة من الله ومحمد النبي رسوله لتحي-ة بن روبة واهل ايلة اساقفهم وساءرهم في البر والبحر لهم ذمة الله و-ذمة النبي ومن كان معهم من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب------ لمن اخذه من الناس وانه لا يحل ان يمنعوا ما- يريدونه ولا طريقا يريدونه من بر او بحر هذا كتاب جهيم بن الصلت وشرحبيل بن حسنة باذن رسول الله صلي الله عليه وسلم,427,-3654492682322209607,ShamAY0034434-ara1.ms204,False,-7715004692852839022,0,110,1,548,1470,300,وسلم الي تبوك فلما اتاها اتاه بحنة بن رءبة صاحب ايلة وصالح رسول الله صلي الله عليه وسلم واعطاه الجزية واتاه اهل جرباء واذرح فاعطوه الجزية وكتب رسول الله صلي الله عليه وسلم لكل كتابا----------------------------- بسم الله الرحمن الرحيم هذا امنة من الله ومحمد النبي------ لبحينة بن رءبة واهل ايلة سفن--هم وسادتهم في البر والبحر لهم ذمة الله ومحمد النبي ومن كان معهم من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب للناس لمن اخذه--------- وانه لا يحل ان يمنعوا ماء يرد-ونه ولا طريقا يرد-ونه من بر او بحر وكت----ب جهيم بن الصلت---------------- باذن رسول الله صلي الله عليه وسلم,204,8911967320214985364,444,763.0,350,615,72.19512176513672,79,Shamela0011566-ara1.completed,ShamAY0034434-ara1,ShamAY0034434,0535QawwamSunna.MabcathWaMaghazi,535
Shamela0011566-ara1.completed.ms0427,False,-9061577125727286246,41,106,218,530,1547,300,بن روبة واهل ايلة اساقفهم وساءر-هم في البر والبحر لهم ذمة الله وذمة النبي و----------من كان معهم من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب- لمن اخذه من الناس وانه لا يحل ان يمنعوا ما- يريدونه ولا طريقا يريدونه من بر او بحر هذا كتاب جهيم بن الصلت وشرحبيل بن حسنة باذن رسول الله,427,-3654492682322209607,Shamela0001686-ara1.completed.ms0233,True,-5257571525300343218,0,65,1,317,1496,300,بن روبة واهل ايلة لسفن-هم وسيارتهم في البر والبحر لهم ذمة الله وذمة محمد رسول الله ولمن كان معهم من اهل الشام واهل اليمن واهل البحر ومن احدث----- حدثا فانه لا يحول ماله دون نفسه وانه طيبة لمن اخذه من الناس وانه لا يحل ان يمنعوا ماء يرد-ونه ولا طريقا يريدونه من بر و--بحر هذا كتاب جهيم بن الصلت وشرحبيل بن حسنة باذن رسول الله,233,-4203281635626452882,288,523.0,226,325,88.61538696289062,53,Shamela0011566-ara1.completed,Shamela0001686-ara1.completed,Shamela0001686,0230IbnSacd.TabaqatKubra,230
Shamela0011566-ara1.completed.ms0427,True,-9061577125727286246,0,96,1,480,1547,300,الله عليه وسلم الي تبوك اتاه تحية بن روبة صاحب ايلة فصالحه---------------------------- واعطاه الجزية واتاه اهل جرباء واذرح فاعطوه الجزية وكتب -----------------------------لهم كتابا فهو عندهم وكتب لتحية بن روبة بسم الله الرحمن الرحيم هذا امنة من الله ومحمد النبي -رسوله لتحية بن روبة واهل ايلة اساقفهم وساءرهم في البر والبحر لهم ذمة الله وذمة النبي ومن كان معهم من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب لمن اخذه من الناس وانه لا يحل ان يمنعوا ما- يريدونه ولا طريقا يريدونه من بر او بحر هذا,427,-3654492682322209607,Shamela0003118-ara1.completed.ms0102,False,-2248048341420320480,192,300,920,1456,1456,300,الله عليه وسلم الي تبوك اتاه يحنة بن رءبة صاحب ايلة فصالح رسول الله صلي الله عليه وسلم واعطاه الجزية واتاه اهل جرباء واذرح فاعطوه الجزية وكتب رسول الله صلي الله عليه وسلم لهم كتابا فهو عندهم فكتب ليحنة بن رءبة بسم الله الرحمن الرحيم هذا امنة من الله ومحمد النبي ورسوله ليحنة بن رءبة واهل ايلة اساقفهم وساءرهم في البر والبحر لهم ذمة الله وذمة النبي ومن كان معه -من اهل الشام واهل اليمن واهل البحر فمن احدث منهم حدثا فانه لا يحول ماله دون نفسه وانه طيب لمن اخذه من الناس وانه لا يحل ان يمنعوا ماء يرد-ونه ولا طريقا يريدونه من بر او بحر هذا,102,6466097600277704307,464,874.0,369,538,86.24535369873047,83,Shamela0011566-ara1.completed,Shamela0003118-ara1.completed,Shamela0003118,0711IbnManzurIfriqi.MukhtasarTarikhDimashq,711
