cluster_id,cluster_length
0,30
1,25
2,23
3,19
4,16
5,16
6,15
7,14
8,13
9,11
10,11
11,11
12,10
13,10
14,8
15,7
16,7
17,7
18,7
19,7
20,7
21,6
22,5
23,5
24,4
25,4
26,4
27,4
28,4
29,3
30,2
31,2
32,2
33,2
