cluster,notes
558345874529,Fatimid fitna - brief cannabilism ref
472446574765,famine of 7 years - Fatimid fitna - comparison to Yusuf
343597590980,famine of 7 years - fatimid fitna - cannabilism
120259275877,"famine in time of al-Mustansir (fitna) nothing like it since Yusuf, 7 years - cannabilism"
85899445346,al-Mustansir - fitna? - cannabilism - Yusuf comp
85899445345,al-Mustansir - fitna? - cannabilism - Yusuf comp
85899445344,al-Mustansir - fitna? - cannabilism - Yusuf comp
85899429281,al-Mustansir fitna - ref to famine and epidemic perhaps more general - whole houses dying in one night
85899429280,al-Mustansir fitna - ref to famine and epidemic perhaps more general - whole houses dying in one night
85899429278,al-Mustansir fitna - ref to famine and epidemic perhaps more general - whole houses dying in one night
42949853418,fitna al-Mustansir - bad famine and epidemic returned 
34359867301,"Fatimid fitna? - 7 years of famine and epidemic - fields untended - eating dogs, cats, cannabilism"
25769985356,Fatimid fitna (462) - bad dearth - bread prices - epidemic
25769985354,Fatimid fitna (462) - bad dearth - bread prices - epidemic
17180009333,famine - cannabilism - comparison with time of al-Mustansir - as major famine
