cluster,notes
592705523321,cannabilism - time of Baybars - Aleppo?
592705508983,cannabilism - Baghdad
541166054233,starvation and price rises
532576133228,hunger and price rises
523986153754,famine in Mecca
515396288587,famine in Mecca
515396288586,famine in Mecca
515396084215,famine in Iraq (early period)
506806158449,price rises and hunger
498216288458,famine - in Mosul?
481036471655,famine + cannibalism - contrast in accounts
481036381264,famine - Sira?
472446605530,famine in Baghdad - cannabilism
472446486211,"famine/dearth in Mecca, b/c of failed Nile"
463856651121,famine and cannibalism - aftermath of attack?
455266647540,famine - v. widespread
455266600360,famine - widespread
455266579291,famine and epidemic Egypt
455266536064,famine in Mosul - eating dogs and corpses
446676677814,worsening of famine - Qaramita
438086714505,famine - Mahdiyya - eating corpses and mounts
412317048926,famine in Mecca - Sira/Hadith? - eating corpses
412316989617,famine and epidemic - upper Mesopotamia?
412316905014,time of famine
403726937504,famine of 7 years
369367215443,famine in Baghdad - cannabilism
360777452406,worsening of famine - Sira?
352187399300,famine - Egypt - Mamluk?
352187393787,famine in Iraq - time of al-Hakim - eating dogs and donkeys
352187393781,famine in Iraq - time of al-Hakim - eating dogs and donkeys
352187375840,famine in Iraq
352187360241,famine - in Egypt?
343597558170,famine - in Iraq? - eating corpses and dogs
335007566854,cannabilism - but not famine?
335007487820,occupation in Jabal - followed by famine and epidemic
326417731812,famine in Aleppo - eating corpses
326417651905,famine in Egypt - cannabilism
317827775830,famine in Madina - Sira
317827697804,world famine - linked to epidemic - black death?
317827608489,famine and epidemic in army
309237730470,famine in Egypt - cannabilism
300647743010,"famine of 7 years - eating corpses, bones ,dogs"
283467858761,famine in Madina - Sira
274877938546,famine in Transoxiana
274877935709,famine - in Syria?
266288155730,"famine in Jazira - eating dead, selling children"
257698114187,famine - eating leather - Sira/Tafsir
257698075552,famine - generic?
257698054859,famine - the weak eat the dead
249108206186,famine in Madina - Sira/Hadith/Tafsir
240518388114,famine in Madina - Sira/Hadith/Tafsir
240518388113,famine in Madina - Sira/Hadith/Tafsir
240518300657,famine - brief ref
240518254152,famine in Egypt
231928417570,Abu Yazid and famine
231928283139,testing Meccans with famine - eating corpses
231928269318,price rises not seen before
231928269315,price rises not seen before
223338448061,famine in Ifriqiya - cannabilism
223338318713,famine in Baghdad - eating corpses
206158503700,7 year famine
