term,count
حتي اكل بعضهم بعضا,8
حتي ابيع الكلب ب,1
وعم الغلا تلك الاصقاع حتي اكل الناس الميته والكلاب,1
حتي اكل الناس الميته والكلاب,2
"وعم الغلا\s(\w+\s){0,4}حتي اكل الناس الميته والكلاب",1
لحوم الدواب الميته,0
لحوم الكلاب,216
حتي اكل الناس الميته والكلاب والسنانير,1
فاكل الناس الميته والكلاب والسنانير,2
اشتد الغلا,125
حتي اكل الناس الميته والكلاب واكل الناس بعضهم بعضا,1
واكل الناس بعضهم بعضا,18
وافنيت الحمر والخيل والبغال والكلاب من اكل الناس لها,1
ولم يبق ش من هذه الحيوانات يلوح,0
قد اشتد عندهم وعدموا القوت واكلوا الكلاب والميته,0
واكلوا الكلاب والميته,2
حتي اكلوا الكلاب والحمر,1
 اكلوا الكلاب والحمر,1
حتي اكلوا الكلاب,28
حتي اكلوا الكلاب والجيف,15
حتي اكلوا الجيف والعظام والكلاب,6
حتي اكلوا الكلاب والجيف,15
كسني يوسف,720
