book,phrase,count
0725BaybarsMansuri.ZubdatFikra.GVDB20201027-ara1.completed,لحوم الكلاب,1
0725BaybarsMansuri.ZubdatFikra.GVDB20201027-ara1.completed,اشتد الغلا,1
0725BaybarsMansuri.MukhtarAkhbar.GVDB20210106-ara1.completed,واكل الناس بعضهم بعضا,1
0728IbnTaymiyya.Istiqama.JK000028-ara1,كسني يوسف,1
0728IbnTaymiyya.Istiqama.JK000028-ara1,All phrases,1
0256Bukhari.Sahih.JK000110-ara1.completed,كسني يوسف,11
0256Bukhari.Sahih.JK000110-ara1.completed,All phrases,11
0303Nasai.SunanSughra.JK000130-ara1.completed,لحوم الكلاب,1
0303Nasai.SunanSughra.JK000130-ara1.completed,كسني يوسف,2
0303Nasai.SunanSughra.JK000130-ara1.completed,All phrases,2
0597IbnJawzi.TahqiqFiAhadithKhilaf.JK000221-ara1,لحوم الكلاب,1
0861IbnHumam.SharhFathQadir.JK000299-ara1,لحوم الكلاب,1
0728IbnTaymiyya.SharhCumdatFiqh.JK000386-ara1,لحوم الكلاب,2
0821Qalqashandi.Maathir.JK000401-ara1,اشتد الغلا,1
0211CabdRazzakSancani.Tafsir.JK000435-ara1,كسني يوسف,1
0211CabdRazzakSancani.Tafsir.JK000435-ara1,All phrases,1
0303Nasai.SunanKubra.JK000475-ara1.completed,كسني يوسف,3
0303Nasai.SunanKubra.JK000475-ara1.completed,All phrases,3
0385Daraqutni.Sunan.JK000477-ara1.completed,لحوم الكلاب,4
0535QawwamSunna.DalailNubuwwa.JK000657-ara1.completed,كسني يوسف,1
0535QawwamSunna.DalailNubuwwa.JK000657-ara1.completed,All phrases,1
0204Shafici.SunanMathura.JK000677-ara1,كسني يوسف,1
0204Shafici.SunanMathura.JK000677-ara1,All phrases,1
0804IbnMulaqqin.KhulasatBadrMunir.JK000734-ara1,لحوم الكلاب,1
0597IbnJawzi.ZadMasir.JK000791-ara1,كسني يوسف,3
0597IbnJawzi.ZadMasir.JK000791-ara1,All phrases,3
0817MajdDinFiruzabadi.TanwirMiqbas.JK000865-ara1,كسني يوسف,1
0817MajdDinFiruzabadi.TanwirMiqbas.JK000865-ara1,All phrases,1
0281IbnAbiDunya.ManCashaBacdaMawt.JK000908-ara1.mARkdown,واكل الناس بعضهم بعضا,1
0630IbnAthirCizzDin.Kamil.JK000911-ara1.mARkdown,حتي اكل بعضهم بعضا,1
0630IbnAthirCizzDin.Kamil.JK000911-ara1.mARkdown,وعم الغلا تلك الاصقاع حتي اكل الناس الميته والكلاب,1
0630IbnAthirCizzDin.Kamil.JK000911-ara1.mARkdown,حتي اكل الناس الميته والكلاب,2
0630IbnAthirCizzDin.Kamil.JK000911-ara1.mARkdown,"وعم الغلا\s(\w+\s){0,4}حتي اكل الناس الميته والكلاب",1
0630IbnAthirCizzDin.Kamil.JK000911-ara1.mARkdown,حتي اكل الناس الميته والكلاب والسنانير,1
0630IbnAthirCizzDin.Kamil.JK000911-ara1.mARkdown,فاكل الناس الميته والكلاب والسنانير,1
0630IbnAthirCizzDin.Kamil.JK000911-ara1.mARkdown,اشتد الغلا,16
0630IbnAthirCizzDin.Kamil.JK000911-ara1.mARkdown,حتي اكل الناس الميته والكلاب واكل الناس بعضهم بعضا,1
0630IbnAthirCizzDin.Kamil.JK000911-ara1.mARkdown,واكل الناس بعضهم بعضا,2
0630IbnAthirCizzDin.Kamil.JK000911-ara1.mARkdown,واكلوا الكلاب والميته,1
0571IbnCasakir.TarikhDimashq.JK000916-ara1.mARkdown,اشتد الغلا,1
0571IbnCasakir.TarikhDimashq.JK000916-ara1.mARkdown,واكل الناس بعضهم بعضا,2
0571IbnCasakir.TarikhDimashq.JK000916-ara1.mARkdown,كسني يوسف,6
0571IbnCasakir.TarikhDimashq.JK000916-ara1.mARkdown,All phrases,6
0543IbnCarabiIshbili.AhkamQuran.JK000917-ara1.completed,لحوم الكلاب,1
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.JK000977-ara1,كسني يوسف,3
0430AbuNucaymIsbahani.MusnadMustakhrajCalaSahihMuslim.JK000977-ara1,All phrases,3
0488IbnFutuhHumaydi.TafsirGharib.JK001211-ara1,كسني يوسف,1
0488IbnFutuhHumaydi.TafsirGharib.JK001211-ara1,All phrases,1
0745IbnMuhammadTaqiDinIbnImam.SilahMumin.JK001236-ara1,كسني يوسف,1
