section,st_pos,mid_pos,w_count,date,century,25-y,Name
3,8199,8237.0,76,340,300,350,أبو إسحاق المروزي 
4,8275,8352.5,155,653,600,675,ابن أونبا والي دمشق 
7,8573,8584.5,23,313,300,325,أبو إسحاق الماذرائي الكاتب 
9,8751,9041.0,580,756,700,775,جمال الدين ابن المغربي رأس الأطباء 
10,9331,9337.0,12,561,500,575,ابن فليتة الزبيري الكاتب 
12,9706,9755.5,99,737,700,750,أبو إسحاق العزفي 
13,9805,9927.0,244,369,300,375,الشريف إبراهيم الرسي 
14,10049,10091.0,84,306,300,325,إبراهيم بن أحمد الكلابي 
16,10258,10309.0,102,371,300,375,الميمذي 
17,10360,10375.5,31,723,700,725,ابن حالومة 
18,10391,10481.0,180,342,300,350,أبو إسحاق الرقي الواعظ 
20,10691,10722.0,62,708,700,725,القاضي البرلسي 
21,10753,10770.0,34,558,500,575,ابن صدقة الغرناطي 
22,10787,10850.0,126,366,300,375,رئيس المؤذنين بجامع عمرو 
23,10913,10947.0,68,620,600,625,أبو إسحاق البلنسي 
26,11558,16860.0,10604,161,100,175,إبراهيم بن أدهم الزاهد 
27,22162,22288.0,252,205,200,225,أبو إسحاق القاري 
31,22596,22610.5,29,757,700,775,شرف الدين المناوي 
32,22625,22657.0,64,670,600,675,أبو إسحاق الزرزاني 
35,22819,22844.5,51,647,600,650,نجم الدين البهنسي 
37,22916,22947.0,62,738,700,750,قطب الدين حفيد صاحب الموصل 
40,23281,23307.5,53,382,300,400,أبو إسحاق الطليطلي 
41,23334,23364.0,60,285,200,300,أبو إسحاق الواسطي 
43,23488,23512.0,48,692,600,700,تقي الدين ابن ناشئ 
44,23536,23720.5,369,400,400,425,غرس الدولة البويهي 
45,23905,23927.5,45,270,200,275,ابن مهران الكوفي 
46,23950,23971.0,42,391,300,400,إبراهيم البرقي 
47,23992,24016.0,48,352,300,375,أبو إسحاق الرفاعي 
48,24040,24081.5,83,358,300,375,أبو إسحاق القرميسيني 
49,24123,24144.5,43,331,300,350,أبو إسحاق الجهني 
50,24166,24191.0,50,536,500,550,أبو إسحاق الشرفي 
51,24216,24339.0,246,735,700,750,ابن حميدان الأسواني الشاعر 
52,24462,24595.0,266,291,200,300,إبراهيم الخواص الصوفي 
53,24728,24758.0,60,708,700,725,الرشيد الإسنائي 
57,25202,25208.0,12,617,600,625,ابن نصر الله القرشي 
58,25214,25219.0,10,627,600,650,إبراهيم الفقيسة 
59,25224,25262.0,76,635,600,650,ابن الحصين القزاز 
60,25300,25317.5,35,307,300,325,أبو إسحاق الغافقي العدوي 
61,25335,25354.0,38,384,300,400,ابن مسلم الحسيني 
62,25373,25471.5,197,399,300,400,أبو جعفر الحسيني المكي 
63,25570,25683.5,227,242,200,250,أبو إسحاق العنبري الطوسي 
64,25797,25823.5,53,685,600,700,ابن الطنبا الناصري 
67,26167,26507.0,680,196,100,200,إبراهيم بن الأغلب 
70,26981,27016.0,70,729,700,750,جمال الدين الأقصراني 
71,27051,27086.5,71,654,600,675,ابن أيبك صاحب صرخد 
72,27122,27134.5,25,632,600,650,ابن خواجا 
74,27325,27414.5,179,225,200,225,ابن البراء الأنسي 
75,27504,27538.5,69,656,600,675,ابن فضائل الحداد 
76,27573,27719.5,293,744,700,750,ابن صابر مقدم الدولة 
78,27980,28077.5,195,719,700,725,ابن أبي بكر السنجاري 
81,28424,28465.0,82,641,600,650,شرف الدين السنجاري 
82,28506,28577.0,142,617,600,625,الفائز الأيوبي 
83,28648,28773.5,251,658,600,675,الأمير مجير الدين الكردي 
84,28899,28922.5,47,688,600,700,ابن الراعي الرقي 
86,29204,29239.0,70,176,100,200,أبو الأصبغ البجلي الدمشقي 
87,29274,29302.5,57,385,300,400,أبو إسماعيل الإلبيري 
89,29457,29487.0,60,564,500,575,أبو إسحاق الزبيري القطان 
90,29517,29555.5,77,432,400,450,الأقليشي المقرئ 
92,29658,29675.5,35,290,200,300,أبو يعقوب القطان 
93,29693,29824.5,263,217,200,225,إبراهيم بن الجراح المروروذي 
95,29999,30021.0,44,505,500,525,إبراهيم بن جعفر إمام جامع عمرو 
96,30043,30072.0,58,417,400,425,أبو إسحاق ابن حنزابة 
97,30101,30149.5,97,729,700,750,تاج الدين الإسنائي قاضي إسنا 
98,30198,30212.5,29,284,200,300,أبو إسحاق الكرماني 
99,30227,30268.5,83,306,300,325,أبو إسحاق ابن جابر قاضي حلب وحمص 
100,30310,31597.5,2575,370,300,375,أبو محمود القائد الكتامي 
101,32885,32908.5,47,667,600,675,أبو إسحاق السبكي 
102,32932,33003.0,142,517,500,525,علم تربة عفان 
103,33074,33101.0,54,391,300,400,ابن حارث القرطبي 
104,33128,33146.5,37,446,400,450,أبو إسحاق الصواف 
105,33165,33181.5,33,377,300,400,أبو إسحاق ابن رشيق 
107,33293,33312.5,39,352,300,375,أبو إسحاق الخولاني العطار 
108,33332,33359.0,54,696,600,700,إبراهيم بن حسن القاوي 
111,33616,33679.0,126,604,600,625,ابن صاحب الصلاة المالقي 
112,33742,33840.0,196,249,200,250,ابن مرتنيل [القرطبي] 
114,33995,34008.5,27,689,600,700,أبو إسحاق ابن ظافر 
115,34022,34219.0,394,281,200,300,ابن ديزيل سيفنة 
117,34510,34574.5,129,462,400,475,ابن صولة البغدادي 
118,34639,34662.5,47,320,300,325,أبو إسحاق الحضرمي 
119,34686,34708.5,45,477,400,500,حفص الضراب 
121,34811,34850.0,78,318,300,325,أبو إسحاق الأندلسي 
124,35002,35053.0,102,316,300,325,الكلابزي 
126,35157,35187.5,61,637,600,650,ابن القماح 
