,date,Distinct count,percent,rank,first_century_eq,first_century_freq,total,Total percentage
0,076,2,6.25,0.0,,,,
1,806,2,6.25,1.0,n/a,n/a,2.0,6.25
2,358,2,6.25,2.0,n/a,n/a,2.0,6.25
3,360,1,3.125,3.0,n/a,n/a,1.0,3.125
4,075,1,3.125,4.0,,,,
5,074,1,3.125,5.0,,,,
6,086,1,3.125,6.0,,,,
7,766,1,3.125,7.0,n/a,n/a,1.0,3.125
8,818,1,3.125,8.0,018,1,2.0,6.25
9,817,1,3.125,9.0,n/a,n/a,1.0,3.125
10,781,1,3.125,10.0,n/a,n/a,1.0,3.125
11,622,1,3.125,11.0,n/a,n/a,1.0,3.125
12,583,1,3.125,12.0,n/a,n/a,1.0,3.125
13,567,1,3.125,13.0,n/a,n/a,1.0,3.125
14,099,1,3.125,14.0,,,,
15,020,1,3.125,15.0,120,1,2.0,6.25
16,010,1,3.125,16.0,,,,
17,016,1,3.125,17.0,,,,
18,064,1,3.125,18.0,,,,
19,191,1,3.125,19.0,n/a,n/a,1.0,3.125
20,084,1,3.125,20.0,,,,
21,total,32,100.0,,n/a,n/a,32.0,100.0
