,date,Distinct count,percent,rank,first_century_eq,first_century_freq,total,Total percentage
0,006,48,5.492,0.0,106,4,52.0,5.95
1,008,46,5.263,1.0,108,2,48.0,5.492
2,010,43,4.92,2.0,110,1,44.0,5.034
3,007,41,4.691,3.0,107,2,43.0,4.92
4,005,39,4.462,4.0,105,4,43.0,4.92
5,003,38,4.348,5.0,103,2,40.0,4.577
6,004,35,4.005,6.0,104,2,37.0,4.233
7,009,31,3.547,7.0,,,,
8,002,28,3.204,8.0,102,2,30.0,3.432
9,020,17,1.945,9.0,120,3,20.0,2.288
10,001,15,1.716,10.0,101,3,18.0,2.059
11,011,15,1.716,11.0,,,,
12,060,13,1.487,12.0,160,2,15.0,1.716
13,036,13,1.487,13.0,136,1,14.0,1.602
14,050,12,1.373,14.0,250,1,13.0,1.487
15,063,11,1.259,15.0,,,,
16,054,10,1.144,16.0,654,3,13.0,1.487
17,051,10,1.144,17.0,,,,
18,021,10,1.144,18.0,,,,
19,041,10,1.144,19.0,141,1,11.0,1.259
20,040,10,1.144,20.0,340,1,11.0,1.259
21,total,874,100.0,,n/a,n/a,874.0,100.0
