MS,Edition Vol:Page,Topic,Reuse parrallels,Notes
10,I:10,Summary of work in list of works of Khitat,None,
173,I:202,Section = evaluation of tax (Kharaj) in the 'first period' - Quotation about an inscription in a temple detailing tax in the time of Yusuf,None,"This quotation found in Liege notebook, Nuwayri discusses changes under Yusuf but doesn't cite inscription, following quote from Asdi shared with 0520IbnMuhammadTurtushi.SirajMuluk - possible this quote is from Jawwani, or could be added by Maqrizi"
426,I:503,Ayla - name of place and how it relates to a Berber family,None,
658,II:9,A fancy of Ibn Sa'id on placement of Fustat - found in hand of Jawwani but attributable to Ibn Sa'id,None,
679,II:31,Repetition of point on placement of Fustat - this time no reference to Ibn Sa'id - just Jawwani ,None,V. short and basic - likely beyond text reuse detection
754,II:123,Quoting a contemporary who then quotes al-Quda'i on number of certain buildings in Fustat,"Yes : Yaqut, Ibn Tagh","Followed by quotation (likely chosen by Maqrizi, from the Khitat of al-Qudai), Yaqut reuses this in section on Ibn Tulun mosque where he describes destruction of Misr and the Famine. Maqrizi's is longer, Yaqut seems to be assembling quotations from parts of Jawwani's text and diff sources. Ibn Yunis in previous quotation also shared with al-Safadi."
759,II:128,"Same section as above, citing (as 'heard') biography of al-Madhira'iin (which is attributed to Ibn Zulaq and quoted on p. 126) - discussing a particular type of dessert - stuffing them with dinars in the place of sugar - produced by a wazir called Ibn Muyassar in imitation of desert attributed to a wazir called al-Madhira'iin?",,"Ibn Yunis in following quotation shared with al-Safadi, Fuad Sayyid notes parrallels (story parralells but not textual - q. of stemma here and relation to Jawwani) in f.n. in Muqaffa (bio of Madhira'iin - no. 5 or 403, narrative not present, or 2707 - check for narrative, bio of Ibn Muyassar = 3475 and gives narrative) , Ittiaz (v. clear narrative, likely from Ibn Muyassar, y. 531, III:197), Ibn Muyassar (under year 531), Ibn Hajar - Rifa, Suyuti - cross-check last two"
771,II:141,Fitna and destruction of Fustat,"Yes: Yaqut, Ittiaz",
1094,II:581,"Pavillion built by Caliph al-Amir - adorned with poetry, details of poets and their origins",None,
1104,II:594,Uncovering of the mosques - a tour of mosques conducted by Qadi during Ramadan,None,
1295,,Quoting al-Quda'i - number of hamams in Cairo,None,V. short quote - followed by comparison of figures from other sources (e.g. Ibn 'Abd al-Zahir).
1299,,Description of and anecdote about a person (that son of an amir al-Juyush) after whom a bath house is named. Anecdote concerns his wearing a basket (!?) on his legs and hands in presence of Caliph Hafiz. He died after 533. ,None,
1409,,Potentially Nasab - concerning those killed in battle of the trench and their burial,None,
1574,,Description of mosque built on top of a hill followed by description of Saladin's building there,None,
1675,,Gardens of the mosques of Egypt - one has a tree from the time of Moses. Mosque or Garden (?) burned during the burning of Misr.,None,Followed by quotation from al-Kindi - with parralell. References to 'now' and 'today' referring to author's day?
